Test_ID,Predicted_Reference_Parameter,Valid/Invalid
TST-0039,21.9458,Valid
TST-0173,18.836676,Valid
TST-0082,20.40449,Valid
TST-0296,35.91185,Valid
TST-0297,33.960808,Valid
TST-0125,17.655493,Valid
TST-0199,21.780296,Valid
TST-0330,21.817743,Valid
TST-0133,35.9836,Valid
TST-0175,31.157934,Valid
TST-0270,45.128754,Valid
TST-0255,16.999416,Valid
TST-0025,13.688465,Valid
TST-0073,13.898267,Valid
TST-0077,21.103424,Valid
TST-0293,14.607517,Valid
TST-0212,33.250767,Invalid
TST-0081,14.178268,Valid
TST-0328,19.68094,Valid
TST-0290,49.77284,Invalid
TST-0337,16.77783,Valid
TST-0171,22.677454,Valid
TST-0057,30.400822,Valid
TST-0284,19.425999,Valid
TST-0063,20.892097,Valid
TST-0022,21.957495,Valid
TST-0044,17.22289,Valid
TST-0035,24.429485,Valid
TST-0258,44.425022,Invalid
TST-0334,27.33714,Invalid
TST-0018,27.4482,Valid
TST-0321,21.018108,Valid
TST-0282,14.978236,Valid
TST-0142,46.343258,Invalid
TST-0312,23.157438,Valid
TST-0101,22.226023,Valid
TST-0134,25.126728,Invalid
TST-0287,32.986183,Valid
TST-0153,32.96337,Valid
TST-0299,31.158295,Valid
TST-0204,22.873648,Invalid
TST-0090,19.846844,Valid
TST-0186,33.044163,Valid
TST-0209,48.974426,Valid
TST-0130,20.887812,Valid
TST-0224,23.296192,Valid
TST-0302,28.099117,Valid
TST-0118,15.286729,Valid
TST-0292,20.289959,Valid
TST-0345,22.961218,Invalid
TST-0108,27.194582,Valid
TST-0071,15.326207,Valid
TST-0053,16.092337,Valid
TST-0273,16.89093,Valid
TST-0300,15.356875,Valid
TST-0148,19.736647,Valid
TST-0347,39.581425,Valid
TST-0146,28.015236,Invalid
TST-0241,17.834187,Valid
TST-0096,16.590378,Valid
TST-0220,23.073826,Valid
TST-0174,22.428892,Valid
TST-0246,14.658973,Valid
TST-0136,18.665335,Valid
TST-0109,22.103395,Valid
TST-0040,39.096687,Valid
TST-0043,21.236048,Invalid
TST-0181,37.789562,Valid
TST-0268,17.300312,Valid
TST-0253,16.025385,Valid
TST-0017,25.099525,Valid
TST-0201,23.268997,Valid
TST-0129,16.942598,Valid
TST-0068,48.45214,Valid
TST-0161,15.380173,Valid
TST-0298,20.47942,Invalid
TST-0094,43.84452,Valid
TST-0336,27.464676,Invalid
TST-0149,20.949104,Valid
TST-0191,47.685966,Valid
TST-0032,18.426899,Valid
TST-0054,16.611685,Valid
TST-0349,56.458218,Valid
TST-0100,18.159857,Valid
TST-0162,19.478844,Valid
TST-0326,23.302366,Invalid
TST-0340,19.56617,Valid
TST-0319,28.531162,Valid
TST-0064,18.52075,Valid
TST-0259,28.500095,Valid
TST-0066,43.651665,Valid
TST-0123,47.884422,Valid
TST-0218,20.868345,Valid
TST-0261,23.419048,Valid
TST-0196,21.296581,Valid
TST-0281,27.664164,Invalid
TST-0303,37.375378,Valid
TST-0254,23.172598,Valid
TST-0322,18.653036,Valid
TST-0139,17.580017,Valid
TST-0257,37.75635,Valid
TST-0033,16.663298,Valid
TST-0112,49.68494,Valid
TST-0021,25.140434,Valid
TST-0083,18.07756,Valid
TST-0150,25.183008,Valid
TST-0265,24.20971,Valid
TST-0227,34.025204,Valid
TST-0170,24.764357,Valid
TST-0318,30.801126,Valid
TST-0097,16.586765,Valid
TST-0152,34.493847,Valid
TST-0084,57.999954,Valid
TST-0124,16.193058,Valid
TST-0098,33.30018,Valid
TST-0341,29.857891,Valid
TST-0042,32.163277,Valid
TST-0189,19.46844,Valid
TST-0285,23.287226,Valid
TST-0020,22.469296,Valid
TST-0314,45.16097,Valid
